Data Series,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 ,1969 ,1968 ,1967 ,1966 ,1965 ,1964 ,1963 ,1962 ,1961 
"  Recreation, Sport & Culture",100,96.296,90.266,86.299,85.224,86.802,85.415,84.277,83.843,82.995,82.734,81.316,80.629,79.497,77.142,75.57,76.315,72.773,69.67,69.499,68.258,66.852,67.97,67.441,64.794,63.507,63.201,65.881,66.398,64.697,63.111,62.413,61.012,58.991,57.01,55.38,53.506,51.519,50.808,49.723,49.193,49.258,48.144,45.923,40.512,38.618,36.058,32.609,32.599,32.572,32.415,29.679,29.299,29.166,28.284,28.284,28.284,28.284,28.284,28.284,28.284,28.252,28.284,28.284
    Recreation & Cultural Goods,100.001,100.074,98.965,97.097,96.286,96.102,97.451,97.302,100.229,98.255,99.312,96.937,98.905,101.575,105.107,105.397,106.164,107.811,107.788,107.37,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Other Recreational Goods,100,101.562,101.131,100.184,101.701,101.525,99.978,101.57,101.676,102.5,102.045,102.247,102.118,102.87,103.218,105.714,107.133,106.333,104.916,105.468,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Games, Toys & Hobbies",100,101.456,100.748,100.721,102.693,101.626,99.315,101.433,101.54,102.568,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Equipment For Sport, Camping & Open-Air Recreation",100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Garden Products & Pets,100,98.925,92.249,88.632,87.602,86.673,86.001,84.8,83.702,83.345,82.622,81.23,80.231,78.995,77.789,77.858,77.332,74.069,72.825,70.709,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Garden Products, Plants & Flowers",100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Pets & Products For Pets,100,100.581,92.82,89.964,89.707,89.428,89.292,88.051,86.441,86.604,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Recreational Services,100,92.543,88.091,84.126,82.365,82.649,81.186,80.849,79.674,78.111,77.615,77.064,74.831,72.471,71.071,70.684,69.92,67.768,66.792,65.932,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Recreational Services,100.001,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Veterinary & Other Services For Pets,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Recreational & Sporting Services,100,92.376,88.03,84.082,82.394,83.029,81.575,81.321,80.079,78.508,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Cultural Services,100,97.564,92.8,89.094,88.046,88.201,86.844,85.326,84.992,86.25,86.425,83.751,82.215,79.028,75.549,74.512,73.942,71.336,71.404,70.013,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Services Provided By Cinemas, Theatres & Concert Venues",100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Services Provided By Museums & Cultural Sites,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Photographic Services,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Cultural Services Nec,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"    Newspapers, Books & Stationery",100,99.325,97.992,97.154,96.886,96.419,96.227,96.206,95.287,90.305,88.878,88.636,88.48,88.245,87.95,87.476,84.006,81.727,81.172,80.475,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Books, Excl School Textbooks & Study Guides",100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Newspapers & Others,100,99.999,99.085,98.79,98.79,98.79,98.717,98.868,97.323,87.41,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Stationery & Drawing Materials,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Holiday Expenses,100,96.221,88.846,84.369,83.222,85.771,84.121,82.45,82.132,81.152,80.959,79.347,78.942,78.074,74.922,72.362,74.428,69.622,64.565,64.939,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Hotels,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Chalets,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Package Holidays,100,96.321,90.082,84.126,83.007,84.106,82.164,80.755,81.041,80.466,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Education,100,96.907,94.32,92.344,91.176,91.714,89.633,87.154,84.617,82.093,79.396,76.797,73.944,71.073,68.626,66.41,65.871,62.918,61.237,59.372,57.532,55.515,53.719,52.505,50.54,49.244,47.243,45.023,43.806,41.913,40.292,39.04,37.474,35.22,31.82,29.426,27.955,26.174,25.435,23.787,23.054,21.897,21.235,20.856,19.587,18.07,17.315,16.439,16.13,15.992,15.668,14.958,14.532,14.476,14.65,14.353,14.057,14.28,14.54,14.093,14.427,14.273,13.826,13.774
"    General, Vocational & Higher Education",100,98.035,97.031,95.392,94.676,96.624,94.791,91.86,89.326,87.439,85.453,82.291,78.606,75.004,72.572,70.338,70.648,68.384,66.074,64.059,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Primary Education,100,99.856,100.602,100.602,100.602,100.602,100.602,100.602,100.602,101.608,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Secondary Education,100,99.957,101.116,101.103,101.07,100.679,100.903,101.172,98.9,99.526,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Post-Secondary (Non-Tertiary) Education,100,99.799,97.336,91.096,90.872,91.646,91.625,91.446,89.355,90.109,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Polytechnic Education,100,98.682,97.617,96.602,95.362,92.863,89.573,86.29,82.963,80.232,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Education,100,97.501,96.279,94.693,93.859,96.674,94.619,91.16,88.493,86.189,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Private Tuition & Other Educational Courses,100,94.585,88.795,86.087,83.967,81.702,79.206,77.404,74.857,71.351,67.552,65.752,63.986,62.094,59.803,57.623,55.952,51.898,51.459,49.922,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    School Textbooks & Study Guides,100,98.47,96.452,96.094,96.168,95.796,96.219,96.215,95.783,95.042,94.524,92.893,92.427,91.439,87.486,85.88,84.395,81.038,77.484,74.88,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Miscellaneous Goods & Services,100,98.685,95.785,95.214,95.703,96.849,96.51,95.539,95.394,95.175,95.16,93.921,92.118,91.129,90.245,89.624,89.382,87.567,85.62,83.616,80.065,75.244,71.643,71.869,69.609,68.4,67.394,66.193,65.348,64.49,63.714,61.949,58.216,56.367,53.281,51.633,50.078,49.283,46.898,46.759,46.188,43.068,41.015,39.025,36.415,33.649,33.157,32.126,31.443,30.801,28.707,25.065,22.685,21.919,21.78,20.981,20.281,19.569,19.481,19.184,18.855,19.095,19.098,19.105
    Personal Care,100,98.707,95.547,93.94,95.299,95.362,94.766,94.866,95.808,95.822,96.114,96.255,95.012,94.679,93.701,93.07,92.711,90.774,89.287,88.885,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Hairdressing & Personal Grooming Services,100,97.183,93.487,92.593,92.457,92.116,91.46,91.556,91.043,90.674,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Electric Appliances For Personal Care,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Other Appliances, Articles & Products For Personal Care",100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Alcoholic Beverages & Tobacco,100,97.447,88.561,87.489,87.558,88.42,88.04,83.823,83.582,83.421,82.583,77.952,77.573,77.068,76.311,75.961,75.528,73.982,72.293,70.24,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Alcoholic Beverages,100,101.066,97.147,96.196,96.464,99.543,101.099,103.379,104.171,104.708,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Tobacco,100,96.206,85.616,84.503,84.503,84.605,83.712,77.8,77.284,76.94,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Other Personal Effects,100,99.788,99.69,98.275,96.601,101.72,102.09,102.301,99.951,98.574,99.6,99.214,99.252,99.259,99.155,98.088,98.732,96.83,94.528,92.001,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Jewellery & Watches,100,99.228,97.173,100.509,101.517,103.403,103.565,105.517,105.199,105.449,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Devotional Articles & Articles For Religious & Ritual Celebrations,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Personal Effects Nec,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Social Services,100,99.301,100.481,100.85,102.721,105.814,105.574,103.691,103.561,103.12,100.395,98.051,95.915,95.915,95.624,94.75,93.831,91.388,88.944,88.944,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Other Miscellaneous Services,100,98.605,99.246,103.647,103.667,103.627,103.694,103.66,101.496,101.574,101.238,100.759,88.949,81.392,79.393,78.974,78.385,77.113,71.91,60.419,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Food & Beverage Serving Services,100,96.508,90.927,86.322,85.146,83.997,82.562,81.332,80.154,78.64,76.855,74.691,73.224,71.597,69.687,69.164,67.743,63.812,62.463,61.674,61.236,60.629,60.263,59.701,58.971,58.663,58.342,57.514,56.56,55.152,53.513,51.474,50.467,49.788,48.799,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"    Restaurants, Cafes & Pubs",100,96.328,90.921,86.589,85.578,84.301,82.811,81.432,80.502,78.68,76.236,74.336,72.44,70.045,67.978,67.215,66.42,62.783,60.597,59.624,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Restaurants,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Cafes,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Pubs,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Fast Food Restaurants,100,95.64,88.727,85.111,83.694,82.649,81.349,81.134,80.237,78.486,77.197,74.596,73.922,73.99,72.596,72.23,70.508,68.426,67.059,66.185,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"    Hawker Centres, And Food Courts, Coffee Shops & Kiosks",100,96.718,91.169,86.257,84.986,83.916,82.55,81.298,79.94,78.622,77.158,74.892,73.55,72.129,70.237,69.807,68.116,63.914,62.79,62.046,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Hawker Centres,100,95.824,90.438,85.341,84.202,82.846,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Food Courts, Coffee Shops & Kiosks",100,96.949,91.358,86.494,85.188,84.192,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"    Other Catering Services, Incl Vending Machines",100.001,96.927,91.192,87.238,86.654,85.252,81.284,80.419,79.058,78.494,78.325,77.332,76.644,76.022,75.035,75.019,73.929,70.222,68.682,68.605,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All Items Less Accommodation,100,97.823,93.238,87.414,85.228,85.511,84.712,83.578,82.063,81.794,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All Items Less Imputed Rentals For Housing,100,97.787,93.254,87.602,85.492,85.755,84.979,83.909,82.495,82.272,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The weighting pattern of the Consumer Price Index (CPI) was derived from the expenditure values collected from the Household Expenditure Survey (HES) 2023 and updated to 2024 values by taking into account price changes between 2023 and 2024.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Items -> Housing & Utilities -> Accommodation (Index):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Accommodation, one of the groups in the Housing & Utilities expenditure division of the CPI, comprises Actual Rentals for Housing, Imputed Rentals for Housing, as well as Housing Maintenance & Repairs. A significant share of the Accommodation group is Imputed Rentals for Housing, which reflects the costs to homeowners of utilising the flow of services provided by their homes over an extended period of time. Given that the cost of using housing services is not directly observed for homeowners, it is computed based on the imputed rental concept under the rental equivalence method, i.e., proxied by market rentals of similar properties. This provides an estimated rental value for the owned home, as though the homeowner were renting it from themselves. Housing price is not considered in the CPI as it has a high investment component and is treated as a capital good. As for the CPI for Housing Maintenance & Repairs, it takes into account the rebates for Service & Conservancy Charges (S&CC) disbursed to households living in Housing and Development Board (HDB) flats in the applicable months. Imputed Rentals have no impact on the cash expenditures of most households in Singapore as they already own their homes, while the inclusion of S&CC rebates results in some volatility in the monthly CPI. As such, the CPIs for All Items less Accommodation and All Items less Imputed Rentals for Housing are compiled and published as additional indicators. For the CPI for All Items less Imputed Rentals for Housing, actual rentals paid on rented units are still included in the measure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Items -> Housing & Utilities -> Accommodation -> Imputed Rentals For Housing (Index):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Accommodation, one of the groups in the Housing & Utilities expenditure division of the CPI, comprises Actual Rentals for Housing, Imputed Rentals for Housing, as well as Housing Maintenance & Repairs. A significant share of the Accommodation group is Imputed Rentals for Housing, which reflects the costs to homeowners of utilising the flow of services provided by their homes over an extended period of time. Given that the cost of using housing services is not directly observed for homeowners, it is computed based on the imputed rental concept under the rental equivalence method, i.e., proxied by market rentals of similar properties. This provides an estimated rental value for the owned home, as though the homeowner were renting it from themselves. Housing price is not considered in the CPI as it has a high investment component and is treated as a capital good. As for the CPI for Housing Maintenance & Repairs, it takes into account the rebates for Service & Conservancy Charges (S&CC) disbursed to households living in Housing and Development Board (HDB) flats in the applicable months. Imputed Rentals have no impact on the cash expenditures of most households in Singapore as they already own their homes, while the inclusion of S&CC rebates results in some volatility in the monthly CPI. As such, the CPIs for All Items less Accommodation and All Items less Imputed Rentals for Housing are compiled and published as additional indicators. For the CPI for All Items less Imputed Rentals for Housing, actual rentals paid on rented units are still included in the measure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Items -> Transport -> Land Transport Services -> Point-To-Point Transport Services (Index):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to 2019, data pertain to taxi services only. From 2019 onwards, data pertain to taxi and private hire car services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Items Less Accommodation (Index):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Accommodation, one of the groups in the Housing & Utilities expenditure division of the CPI, comprises Actual Rentals for Housing, Imputed Rentals for Housing, as well as Housing Maintenance & Repairs. A significant share of the Accommodation group is Imputed Rentals for Housing, which reflects the costs to homeowners of utilising the flow of services provided by their homes over an extended period of time. Given that the cost of using housing services is not directly observed for homeowners, it is computed based on the imputed rental concept under the rental equivalence method, i.e., proxied by market rentals of similar properties. This provides an estimated rental value for the owned home, as though the homeowner were renting it from themselves. Housing price is not considered in the CPI as it has a high investment component and is treated as a capital good. As for the CPI for Housing Maintenance & Repairs, it takes into account the rebates for Service & Conservancy Charges (S&CC) disbursed to households living in Housing and Development Board (HDB) flats in the applicable months. Imputed Rentals have no impact on the cash expenditures of most households in Singapore as they already own their homes, while the inclusion of S&CC rebates results in some volatility in the monthly CPI. As such, the CPIs for All Items less Accommodation and All Items less Imputed Rentals for Housing are compiled and published as additional indicators. For the CPI for All Items less Imputed Rentals for Housing, actual rentals paid on rented units are still included in the measure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Items Less Imputed Rentals For Housing (Index):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Accommodation, one of the groups in the Housing & Utilities expenditure division of the CPI, comprises Actual Rentals for Housing, Imputed Rentals for Housing, as well as Housing Maintenance & Repairs. A significant share of the Accommodation group is Imputed Rentals for Housing, which reflects the costs to homeowners of utilising the flow of services provided by their homes over an extended period of time. Given that the cost of using housing services is not directly observed for homeowners, it is computed based on the imputed rental concept under the rental equivalence method, i.e., proxied by market rentals of similar properties. This provides an estimated rental value for the owned home, as though the homeowner were renting it from themselves. Housing price is not considered in the CPI as it has a high investment component and is treated as a capital good. As for the CPI for Housing Maintenance & Repairs, it takes into account the rebates for Service & Conservancy Charges (S&CC) disbursed to households living in Housing and Development Board (HDB) flats in the applicable months. Imputed Rentals have no impact on the cash expenditures of most households in Singapore as they already own their homes, while the inclusion of S&CC rebates results in some volatility in the monthly CPI. As such, the CPIs for All Items less Accommodation and All Items less Imputed Rentals for Housing are compiled and published as additional indicators. For the CPI for All Items less Imputed Rentals for Housing, actual rentals paid on rented units are still included in the measure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024 As Base Year:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The base year is the period with which all the other periods are compared. The base year for the current Consumer Price Index (CPI) is 2024 and the index for 2024 is set equal to 100 points.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Items:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Highest level of the Consumer Price Index (CPI), containing all the divisions, groups and classes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Price Index:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
